conflict,title,source,url,publish_date,population
Ukraine,"Four years in, war in Ukraine grinds on. Is that what Russians want?",npr.org,https://www.npr.org/2026/03/10/nx-s1-5743953/four-years-in-war-in-ukraine-grinds-on-is-that-what-russians-want,2026-03-10,white
Ukraine,What four years of war in Ukraine looks like from Russia,npr.org,https://www.npr.org/2026/03/10/nx-s1-5743971/what-four-years-of-war-in-ukraine-looks-like-from-russia,2026-03-10,white
Ukraine,Trump’s strike on Iran deals a major blow to Putin’s war machine in Ukraine,foxnews.com,https://www.foxnews.com/opinion/trumps-strike-iran-deals-major-blow-putins-war-machine-ukraine,2026-03-06,white
Ukraine,Armed robots take to the battlefield in Ukraine war,bbc.com,https://www.bbc.com/news/articles/c62662gzlp8o,2026-03-07,white
Ukraine,Armed robots take to the battlefield in Ukraine war,bbc.com,https://www.bbc.com/news/articles/c62662gzlp8o?at_medium=RSS&at_campaign=rss,2026-03-07,white
Ukraine,"U.S. turns to Ukraine for drone defense expertise in Iran war, but solutions may take time",cbsnews.com,https://www.cbsnews.com/news/us-ukraine-drone-defense-expertise-iran-war/,2026-03-06,white
Ukraine,Families of Kenyan recruits duped into fighting in Russia's war on Ukraine demand their sons return,apnews.com,https://apnews.com/article/kenya-russia-recruits-ukraine-war-10ca4bc12170ef69eca5976e96a7b39f,2026-03-05,white
Ukraine,Rising energy prices from the Iran war could help Russia pay for fighting in Ukraine,apnews.com,https://apnews.com/article/iran-war-oil-gas-lng-russia-ukraine-b43d87b37c4a3b29a12198e055786f51,2026-03-04,white
Ukraine,Zelensky fears Trump's Iran war could hurt Ukraine,bbc.com,https://www.bbc.com/news/articles/clyv10dre79o?at_medium=RSS&at_campaign=rss,2026-03-03,white
Ukraine,Zelensky fears Trump's Iran war could hurt Ukraine,bbc.com,https://www.bbc.com/news/articles/clyv10dre79o,2026-03-03,white
Ukraine,Trump's Iran attack rattles Russian hardliners who call for Putin to double down on war in Ukraine,reuters.com,https://www.reuters.com/world/europe/trumps-iran-attack-rattles-russian-hardliners-who-call-putin-double-down-war-2026-03-03/,2026-03-03,white
Ukraine,Cornwall service marks fourth anniversary of Ukraine war,bbc.com,https://www.bbc.com/news/articles/c78jvd7222ro,2026-03-02,white
Ukraine,Bradford art project highlights plight of children during Ukraine war,bbc.com,https://www.bbc.com/news/articles/c20ze7dpdwdo,2026-02-28,white
Ukraine,"At least 55 Ghanaians killed fighting for Russia in Ukraine war, minister says",apnews.com,https://apnews.com/article/ghana-russia-ukraine-fighters-war-f77465f7c2c1d4f6749557a60ccf9046,2026-02-27,white
Ukraine,"Ukraine war has claimed lives of 55 Ghanaians, foreign minister says",reuters.com,https://www.reuters.com/world/africa/ukraine-war-has-claimed-lives-55-ghanaians-foreign-minister-says-2026-02-27/,2026-02-27,white
